log_path,accuracy,valid.accuracy,init.test.accuracy,init.valid.accuracy,epoch
/watson/data/ml/results/cbt-hyperparams/h89/89_-bi_True_-ehd_384_-sed_128.out,0.6004,0.665,0.28,0.2825,2
/watson/data/ml/results/cbt-hyperparams/h9/9_-rsd_3_-ehd_384_-sed_128.out,0.3268,0.3515,0.1708,0.1595,1
/watson/data/ml/results/cbt-hyperparams/h16/16_-ehd_128_-sed_128.out,0.6364,0.6725,0.2968,0.286,3
/watson/data/ml/results/cbt-hyperparams/h91/91_-erw_0.0001_-ehd_384_-sed_128.out,0.6396,0.684,0.2916,0.2895,3
/watson/data/ml/results/cbt-hyperparams/h8/8_-rsd_3_-ehd_384_-sed_128.out,0.2172,0.2025,0.1604,0.166,0
/watson/data/ml/results/cbt-hyperparams/h53/53_-b_16_-ehd_384_-sed_128.out,0.6508,0.6985,0.2932,0.2895,1
/watson/data/ml/results/cbt-hyperparams/h120/120_-rsd_3_-ehd_384_-sed_128.out,0.2156,0.2165,0.1716,0.162,0
/watson/data/ml/results/cbt-hyperparams/h93/93_-aoa_True_-ehd_384_-sed_128.out,0.6324,0.6905,0.2868,0.2865,2
/watson/data/ml/results/cbt-hyperparams/h48/48_-bi_True_-ehd_384_-sed_128.out,0.6168,0.6545,0.2804,0.283,3
/watson/data/ml/results/cbt-hyperparams/h63/63_-erw_0.0001_-ehd_384_-sed_128.out,0.65,0.6765,0.2924,0.289,3
/watson/data/ml/results/cbt-hyperparams/h143/143_-aoa_True_-ehd_384_-sed_128.out,0.6292,0.6845,0.2876,0.2855,2
/watson/data/ml/results/cbt-hyperparams/h38/38_-erw_0.0001_-ehd_384_-sed_128.out,0.632,0.6745,0.2888,0.289,2
/watson/data/ml/results/cbt-hyperparams/h28/28_-bi_True_-ehd_384_-sed_128.out,0.6152,0.661,0.278,0.283,3
/watson/data/ml/results/cbt-hyperparams/h136/136_-qice_True_-ehd_384_-sed_128.out,0.6312,0.674,0.2788,0.273,3
/watson/data/ml/results/cbt-hyperparams/h34/34_-aoa_True_-ehd_384_-sed_128.out,0.6276,0.676,0.2896,0.284,2
/watson/data/ml/results/cbt-hyperparams/h73/73_-ehd_128_-sed_128.out,0.628,0.6695,0.2956,0.2825,3
/watson/data/ml/results/cbt-hyperparams/h152/152_-lr_0.0005_-ehd_384_-sed_128.out,0.628,0.6585,0.2916,0.2875,3
/watson/data/ml/results/cbt-hyperparams/h134/134_-ehd_256_-sed_128.out,0.632,0.671,0.2944,0.2825,3
/watson/data/ml/results/cbt-hyperparams/h30/30_-ehd_128_-sed_128.out,0.6368,0.6665,0.2976,0.284,3
/watson/data/ml/results/cbt-hyperparams/h115/115_-ehd_256_-sed_128.out,0.6428,0.6685,0.294,0.2845,3
/watson/data/ml/results/cbt-hyperparams/h85/85_-qice_True_-ehd_384_-sed_128.out,0.6272,0.6785,0.278,0.273,3
/watson/data/ml/results/cbt-hyperparams/h36/36_-ehd_256_-sed_128.out,0.6468,0.677,0.2928,0.283,3
/watson/data/ml/results/cbt-hyperparams/h92/92_-aoa_True_-ehd_384_-sed_128.out,0.6356,0.676,0.2896,0.2865,2
/watson/data/ml/results/cbt-hyperparams/h121/121_-ehd_384_-sed_384.out,0.6524,0.6875,0.262,0.2775,2
/watson/data/ml/results/cbt-hyperparams/h77/77_-qice_True_-ehd_384_-sed_128.out,0.624,0.675,0.2776,0.273,2
/watson/data/ml/results/cbt-hyperparams/h74/74_-b_64_-ehd_384_-sed_128.out,0.6152,0.669,0.2904,0.2855,4
/watson/data/ml/results/cbt-hyperparams/h25/25_-qice_True_-ehd_384_-sed_128.out,0.6244,0.675,0.2804,0.2725,3
/watson/data/ml/results/cbt-hyperparams/h68/68_-ehd_128_-sed_128.out,0.6216,0.6635,0.2952,0.2825,3
/watson/data/ml/results/cbt-hyperparams/h149/149_-lr_0.0005_-ehd_384_-sed_128.out,0.6128,0.66,0.29,0.2895,3
/watson/data/ml/results/cbt-hyperparams/h3/3_-rsd_2_-ehd_384_-sed_128.out,0.572,0.618,0.164,0.166,1
/watson/data/ml/results/cbt-hyperparams/h58/58_-rsd_2_-ehd_384_-sed_128.out,0.4808,0.522,0.166,0.1695,0
/watson/data/ml/results/cbt-hyperparams/h7/7_-rsd_3_-ehd_384_-sed_128.out,0.3288,0.3475,0.1708,0.1645,0
/watson/data/ml/results/cbt-hyperparams/h123/123_-ehd_384_-sed_384.out,0.6376,0.684,0.2608,0.275,2
/watson/data/ml/results/cbt-hyperparams/h43/43_-lr_0.0005_-ehd_384_-sed_128.out,0.6148,0.655,0.2896,0.29,2
/watson/data/ml/results/cbt-hyperparams/h12/12_-ehd_384_-sed_384.out,0.6224,0.682,0.26,0.275,2
/watson/data/ml/results/cbt-hyperparams/h103/103_-b_64_-ehd_384_-sed_128.out,0.6412,0.667,0.292,0.288,3
/watson/data/ml/results/cbt-hyperparams/h100/100_-lr_0.0005_-ehd_384_-sed_128.out,0.6092,0.6595,0.2904,0.288,4
/watson/data/ml/results/cbt-hyperparams/h37/37_-aoa_True_-ehd_384_-sed_128.out,0.6324,0.6745,0.2896,0.2855,2
/watson/data/ml/results/cbt-hyperparams/h142/142_-bi_True_-ehd_384_-sed_128.out,0.618,0.663,0.278,0.2815,2
/watson/data/ml/results/cbt-hyperparams/h148/148_-erw_0.0001_-ehd_384_-sed_128.out,0.6348,0.683,0.2896,0.2885,3
/watson/data/ml/results/cbt-hyperparams/h64/64_-rsd_3_-ehd_384_-sed_128.out,0.9756,0.9775,0.1732,0.164,1
/watson/data/ml/results/cbt-hyperparams/h61/61_-rsd_3_-ehd_384_-sed_128.out,0.3288,0.354,0.1648,0.166,2
/watson/data/ml/results/cbt-hyperparams/h42/42_-qice_True_-ehd_384_-sed_128.out,0.612,0.673,0.2776,0.2755,3
/watson/data/ml/results/cbt-hyperparams/h67/67_-lr_0.0005_-ehd_384_-sed_128.out,0.6048,0.655,0.2924,0.289,3
/watson/data/ml/results/cbt-hyperparams/h46/46_-lr_0.0005_-ehd_384_-sed_128.out,0.6216,0.6615,0.2912,0.2875,3
/watson/data/ml/results/cbt-hyperparams/h6/6_-rsd_3_-ehd_384_-sed_128.out,0.3268,0.3495,0.1632,0.161,1
/watson/data/ml/results/cbt-hyperparams/h144/144_-aoa_True_-ehd_384_-sed_128.out,0.6448,0.6815,0.2876,0.286,2
/watson/data/ml/results/cbt-hyperparams/h2/2_-rsd_2_-ehd_384_-sed_128.out,0.4272,0.469,0.1612,0.1725,0
/watson/data/ml/results/cbt-hyperparams/h102/102_-lr_0.0005_-ehd_384_-sed_128.out,0.6148,0.651,0.2896,0.2875,2
/watson/data/ml/results/cbt-hyperparams/h113/113_-rsd_2_-ehd_384_-sed_128.out,0.4788,0.5285,0.1648,0.165,0
/watson/data/ml/results/cbt-hyperparams/h88/88_-bi_True_-ehd_384_-sed_128.out,0.6132,0.657,0.2804,0.283,2
/watson/data/ml/results/cbt-hyperparams/h33/33_-aoa_True_-ehd_384_-sed_128.out,0.6248,0.6775,0.2872,0.2865,3
/watson/data/ml/results/cbt-hyperparams/h106/106_-b_64_-ehd_384_-sed_128.out,0.6228,0.6615,0.2916,0.287,2
/watson/data/ml/results/cbt-hyperparams/h101/101_-lr_0.0005_-ehd_384_-sed_128.out,0.6192,0.6635,0.292,0.289,3
/watson/data/ml/results/cbt-hyperparams/h45/45_-lr_0.0005_-ehd_384_-sed_128.out,0.6064,0.659,0.2912,0.288,3
/watson/data/ml/results/cbt-hyperparams/h22/22_-qice_True_-ehd_384_-sed_128.out,0.6372,0.682,0.2788,0.2745,3
/watson/data/ml/results/cbt-hyperparams/h56/56_-rsd_2_-ehd_384_-sed_128.out,0.394,0.4145,0.1656,0.1685,0
/watson/data/ml/results/cbt-hyperparams/h78/78_-ehd_256_-sed_128.out,0.6344,0.671,0.2928,0.283,3
/watson/data/ml/results/cbt-hyperparams/h71/71_-ehd_384_-sed_384.out,0.6376,0.684,0.2644,0.2725,2
/watson/data/ml/results/cbt-hyperparams/h18/18_-ehd_256_-sed_128.out,0.628,0.6775,0.294,0.2815,3
/watson/data/ml/results/cbt-hyperparams/h54/54_-b_16_-ehd_384_-sed_128.out,0.6384,0.681,0.2924,0.2895,1
/watson/data/ml/results/cbt-hyperparams/h109/109_-b_16_-ehd_384_-sed_128.out,0.6432,0.6825,0.292,0.2885,3
/watson/data/ml/results/cbt-hyperparams/h140/140_-bi_True_-ehd_384_-sed_128.out,0.5996,0.6575,0.2776,0.283,2
/watson/data/ml/results/cbt-hyperparams/h44/44_-lr_0.0005_-ehd_384_-sed_128.out,0.5968,0.6625,0.2896,0.29,3
/watson/data/ml/results/cbt-hyperparams/h160/160_-b_64_-ehd_384_-sed_128.out,0.624,0.6665,0.2896,0.289,3
/watson/data/ml/results/cbt-hyperparams/h32/32_-bi_True_-ehd_384_-sed_128.out,0.5932,0.6545,0.2772,0.2845,2
/watson/data/ml/results/cbt-hyperparams/h15/15_-ehd_384_-sed_384.out,0.6376,0.6895,0.2648,0.2745,2
/watson/data/ml/results/cbt-hyperparams/h29/29_-bi_True_-ehd_384_-sed_128.out,0.6204,0.6715,0.2768,0.2825,3
/watson/data/ml/results/cbt-hyperparams/h110/110_-b_16_-ehd_384_-sed_128.out,0.622,0.6825,0.2916,0.2885,2
/watson/data/ml/results/cbt-hyperparams/h146/146_-aoa_True_-ehd_384_-sed_128.out,0.6524,0.678,0.2888,0.285,3
/watson/data/ml/results/cbt-hyperparams/h156/156_-b_16_-ehd_384_-sed_128.out,0.6248,0.679,0.2896,0.2895,2
/watson/data/ml/results/cbt-hyperparams/h87/87_-bi_True_-ehd_384_-sed_128.out,0.6244,0.66,0.2788,0.282,2
/watson/data/ml/results/cbt-hyperparams/h70/70_-ehd_384_-sed_384.out,0.63,0.6705,0.2596,0.277,1
/watson/data/ml/results/cbt-hyperparams/h159/159_-b_16_-ehd_384_-sed_128.out,0.642,0.6745,0.2916,0.287,1
/watson/data/ml/results/cbt-hyperparams/h141/141_-aoa_True_-ehd_384_-sed_128.out,0.5988,0.6675,0.2864,0.285,3
/watson/data/ml/results/cbt-hyperparams/h126/126_-ehd_384_-sed_384.out,0.6268,0.682,0.2652,0.275,2
/watson/data/ml/results/cbt-hyperparams/h41/41_-erw_0.0001_-ehd_384_-sed_128.out,0.638,0.669,0.2896,0.289,3
/watson/data/ml/results/cbt-hyperparams/h116/116_-rsd_3_-ehd_384_-sed_128.out,0.2168,0.241,0.166,0.159,0
/watson/data/ml/results/cbt-hyperparams/h151/151_-erw_0.0001_-ehd_384_-sed_128.out,0.6068,0.681,0.29,0.2865,3
/watson/data/ml/results/cbt-hyperparams/h4/4_-rsd_2_-ehd_384_-sed_128.out,0.5436,0.59,0.1652,0.17,1
/watson/data/ml/results/cbt-hyperparams/h23/23_-ehd_384_-sed_384.out,0.6268,0.675,0.264,0.2735,2
/watson/data/ml/results/cbt-hyperparams/h150/150_-lr_0.0005_-ehd_384_-sed_128.out,0.6076,0.6615,0.2916,0.2875,3
/watson/data/ml/results/cbt-hyperparams/h98/98_-lr_0.0005_-ehd_384_-sed_128.out,0.6032,0.654,0.292,0.2885,3
/watson/data/ml/results/cbt-hyperparams/h111/111_-ehd_128_-sed_128.out,0.6312,0.6605,0.2952,0.2825,3
/watson/data/ml/results/cbt-hyperparams/h40/40_-erw_0.0001_-ehd_384_-sed_128.out,0.6188,0.6645,0.292,0.2895,2
/watson/data/ml/results/cbt-hyperparams/h19/19_-ehd_256_-sed_128.out,0.6268,0.6685,0.2944,0.2825,3
/watson/data/ml/results/cbt-hyperparams/h76/76_-ehd_128_-sed_128.out,0.6116,0.6615,0.2948,0.282,3
/watson/data/ml/results/cbt-hyperparams/h155/155_-lr_0.0005_-ehd_384_-sed_128.out,0.6112,0.658,0.2908,0.2885,3
/watson/data/ml/results/cbt-hyperparams/h50/50_-b_64_-ehd_384_-sed_128.out,0.6248,0.659,0.2892,0.2885,3
/watson/data/ml/results/cbt-hyperparams/h79/79_-ehd_256_-sed_128.out,0.6292,0.673,0.2932,0.282,3
/watson/data/ml/results/cbt-hyperparams/h132/132_-qice_True_-ehd_384_-sed_128.out,0.6304,0.6785,0.2772,0.274,3
/watson/data/ml/results/cbt-hyperparams/h84/84_-qice_True_-ehd_384_-sed_128.out,0.6176,0.678,0.278,0.2725,3
/watson/data/ml/results/cbt-hyperparams/h90/90_-rsd_2_-ehd_384_-sed_128.out,0.4332,0.479,0.166,0.1755,0
/watson/data/ml/results/cbt-hyperparams/h17/17_-ehd_128_-sed_128.out,0.638,0.653,0.2956,0.284,3
/watson/data/ml/results/cbt-hyperparams/h26/26_-qice_True_-ehd_384_-sed_128.out,0.622,0.658,0.2772,0.273,1
/watson/data/ml/results/cbt-hyperparams/h83/83_-bi_True_-ehd_384_-sed_128.out,0.6212,0.664,0.278,0.287,3
/watson/data/ml/results/cbt-hyperparams/h51/51_-b_16_-ehd_384_-sed_128.out,0.65,0.6865,0.2932,0.2895,1
/watson/data/ml/results/cbt-hyperparams/h128/128_-ehd_128_-sed_128.out,0.6232,0.661,0.296,0.2845,3
/watson/data/ml/results/cbt-hyperparams/h131/131_-ehd_256_-sed_128.out,0.6304,0.6805,0.2956,0.284,3
/watson/data/ml/results/cbt-hyperparams/h135/135_-qice_True_-ehd_384_-sed_128.out,0.622,0.68,0.2788,0.2755,3
/watson/data/ml/results/cbt-hyperparams/h129/129_-ehd_128_-sed_128.out,0.6208,0.6655,0.2944,0.2835,3
/watson/data/ml/results/cbt-hyperparams/h145/145_-erw_0.0001_-ehd_384_-sed_128.out,0.6284,0.6695,0.2916,0.288,2
/watson/data/ml/results/cbt-hyperparams/h72/72_-ehd_256_-sed_128.out,0.6428,0.666,0.2944,0.283,3
/watson/data/ml/results/cbt-hyperparams/h24/24_-ehd_256_-sed_128.out,0.6272,0.662,0.2932,0.283,2
/watson/data/ml/results/cbt-hyperparams/h14/14_-rsd_3_-ehd_384_-sed_128.out,0.334,0.348,0.1644,0.1555,0
/watson/data/ml/results/cbt-hyperparams/h52/52_-b_64_-ehd_384_-sed_128.out,0.6148,0.6605,0.2896,0.2855,3
/watson/data/ml/results/cbt-hyperparams/h65/65_-ehd_384_-sed_384.out,0.624,0.6835,0.2588,0.2745,3
/watson/data/ml/results/cbt-hyperparams/h5/5_-rsd_2_-ehd_384_-sed_128.out,0.5844,0.6515,0.1664,0.1675,3
/watson/data/ml/results/cbt-hyperparams/h11/11_-ehd_384_-sed_384.out,0.6444,0.679,0.2608,0.274,2
/watson/data/ml/results/cbt-hyperparams/h147/147_-erw_0.0001_-ehd_384_-sed_128.out,0.6276,0.681,0.292,0.2895,2
/watson/data/ml/results/cbt-hyperparams/h107/107_-b_64_-ehd_384_-sed_128.out,0.6212,0.668,0.2896,0.288,3
/watson/data/ml/results/cbt-hyperparams/h35/35_-aoa_True_-ehd_384_-sed_128.out,0.6272,0.6755,0.2856,0.285,2
/watson/data/ml/results/cbt-hyperparams/h118/118_-rsd_2_-ehd_384_-sed_128.out,0.3372,0.354,0.1636,0.1715,1
/watson/data/ml/results/cbt-hyperparams/h95/95_-rsd_3_-ehd_384_-sed_128.out,0.156,0.1625,0.1588,0.157,0
/watson/data/ml/results/cbt-hyperparams/h27/27_-qice_True_-ehd_384_-sed_128.out,0.6328,0.6755,0.276,0.275,2
/watson/data/ml/results/cbt-hyperparams/h31/31_-bi_True_-ehd_384_-sed_128.out,0.6192,0.658,0.2752,0.2835,2
/watson/data/ml/results/cbt-hyperparams/h57/57_-aoa_True_-ehd_384_-sed_128.out,0.6244,0.6845,0.286,0.2865,2
/watson/data/ml/results/cbt-hyperparams/h60/60_-rsd_3_-ehd_384_-sed_128.out,0.1952,0.183,0.1676,0.1575,0
/watson/data/ml/results/cbt-hyperparams/h133/133_-ehd_256_-sed_128.out,0.6284,0.668,0.2932,0.284,3
/watson/data/ml/results/cbt-hyperparams/h117/117_-rsd_2_-ehd_384_-sed_128.out,0.5364,0.57,0.162,0.1735,0
/watson/data/ml/results/cbt-hyperparams/h127/127_-ehd_256_-sed_128.out,0.6252,0.665,0.2928,0.284,2
/watson/data/ml/results/cbt-hyperparams/h81/81_-b_16_-ehd_384_-sed_128.out,0.624,0.679,0.292,0.288,2
/watson/data/ml/results/cbt-hyperparams/h130/130_-ehd_128_-sed_128.out,0.6168,0.668,0.292,0.2825,2
/watson/data/ml/results/cbt-hyperparams/h39/39_-erw_0.0001_-ehd_384_-sed_128.out,0.6284,0.67,0.2904,0.2885,2
/watson/data/ml/results/cbt-hyperparams/h153/153_-b_64_-ehd_384_-sed_128.out,0.6348,0.67,0.2888,0.289,3
/watson/data/ml/results/cbt-hyperparams/h104/104_-ehd_384_-sed_384.out,0.632,0.6725,0.264,0.273,2
/watson/data/ml/results/cbt-hyperparams/h75/75_-ehd_128_-sed_128.out,0.6156,0.66,0.2948,0.284,2
/watson/data/ml/results/cbt-hyperparams/h20/20_-ehd_256_-sed_128.out,0.6356,0.6695,0.294,0.282,3
/watson/data/ml/results/cbt-hyperparams/h114/114_-rsd_2_-ehd_384_-sed_128.out,0.466,0.497,0.166,0.167,0
/watson/data/ml/results/cbt-hyperparams/h137/137_-bi_True_-ehd_384_-sed_128.out,0.61,0.662,0.2756,0.28,2
/watson/data/ml/results/cbt-hyperparams/h69/69_-ehd_384_-sed_384.out,0.6444,0.6895,0.2648,0.277,2
/watson/data/ml/results/cbt-hyperparams/h96/96_-erw_0.0001_-ehd_384_-sed_128.out,0.6368,0.6815,0.2928,0.2905,3
/watson/data/ml/results/cbt-hyperparams/h55/55_-b_16_-ehd_384_-sed_128.out,0.6244,0.679,0.29,0.2895,2
/watson/data/ml/results/cbt-hyperparams/h119/119_-rsd_3_-ehd_384_-sed_128.out,0.308,0.3235,0.1668,0.158,0
/watson/data/ml/results/cbt-hyperparams/h124/124_-ehd_384_-sed_384.out,0.6292,0.677,0.2628,0.269,2
/watson/data/ml/results/cbt-hyperparams/h80/80_-ehd_256_-sed_128.out,0.636,0.6655,0.2936,0.2855,3
/watson/data/ml/results/cbt-hyperparams/h10/10_-ehd_384_-sed_384.out,0.6408,0.6865,0.2648,0.2745,2
/watson/data/ml/results/cbt-hyperparams/h99/99_-erw_0.0001_-ehd_384_-sed_128.out,0.628,0.682,0.2912,0.2885,2
/watson/data/ml/results/cbt-hyperparams/h161/161_-b_16_-ehd_384_-sed_128.out,0.6132,0.6835,0.2932,0.2885,2
/watson/data/ml/results/cbt-hyperparams/h158/158_-b_16_-ehd_384_-sed_128.out,0.6264,0.684,0.2892,0.289,1
/watson/data/ml/results/cbt-hyperparams/h47/47_-b_64_-ehd_384_-sed_128.out,0.6276,0.664,0.2884,0.287,3
/watson/data/ml/results/cbt-hyperparams/h86/86_-aoa_True_-ehd_384_-sed_128.out,0.6464,0.6805,0.288,0.287,2
/watson/data/ml/results/cbt-hyperparams/h97/97_-erw_0.0001_-ehd_384_-sed_128.out,0.6304,0.6735,0.2924,0.2895,2
/watson/data/ml/results/cbt-hyperparams/h112/112_-b_16_-ehd_384_-sed_128.out,0.6404,0.6855,0.2908,0.288,1
/watson/data/ml/results/cbt-hyperparams/h125/125_-ehd_128_-sed_128.out,0.6292,0.673,0.2988,0.2845,3
/watson/data/ml/results/cbt-hyperparams/h66/66_-rsd_3_-ehd_384_-sed_128.out,0.1688,0.162,0.1688,0.162,0
/watson/data/ml/results/cbt-hyperparams/h122/122_-rsd_3_-ehd_384_-sed_128.out,0.1892,0.214,0.17,0.153,0
/watson/data/ml/results/cbt-hyperparams/h139/139_-bi_True_-ehd_384_-sed_128.out,0.6236,0.658,0.2788,0.2815,1
/watson/data/ml/results/cbt-hyperparams/h94/94_-aoa_True_-ehd_384_-sed_128.out,0.6316,0.6805,0.2872,0.2845,2
/watson/data/ml/results/cbt-hyperparams/h62/62_-rsd_2_-ehd_384_-sed_128.out,0.3312,0.361,0.166,0.171,1
/watson/data/ml/results/cbt-hyperparams/h1/1_-rsd_2_-ehd_384_-sed_128.out,0.4548,0.5075,0.1696,0.171,0
/watson/data/ml/results/cbt-hyperparams/h157/157_-b_64_-ehd_384_-sed_128.out,0.6356,0.6745,0.2908,0.2865,3
/watson/data/ml/results/cbt-hyperparams/h49/49_-b_64_-ehd_384_-sed_128.out,0.6268,0.668,0.2904,0.289,3
/watson/data/ml/results/cbt-hyperparams/h138/138_-qice_True_-ehd_384_-sed_128.out,0.6264,0.6755,0.2772,0.274,3
/watson/data/ml/results/cbt-hyperparams/h82/82_-qice_True_-ehd_384_-sed_128.out,0.6304,0.682,0.2792,0.273,3
/watson/data/ml/results/cbt-hyperparams/h105/105_-b_16_-ehd_384_-sed_128.out,0.6024,0.669,0.2904,0.2875,2
/watson/data/ml/results/cbt-hyperparams/h154/154_-b_64_-ehd_384_-sed_128.out,0.6132,0.663,0.2908,0.2895,2
/watson/data/ml/results/cbt-hyperparams/h59/59_-rsd_2_-ehd_384_-sed_128.out,0.48,0.4705,0.168,0.176,0
/watson/data/ml/results/cbt-hyperparams/h108/108_-b_64_-ehd_384_-sed_128.out,0.6328,0.672,0.2936,0.2875,3
/watson/data/ml/results/cbt-hyperparams/h13/13_-ehd_128_-sed_128.out,0.6036,0.662,0.2948,0.2845,3
/watson/data/ml/results/cbt-hyperparams/h21/21_-ehd_128_-sed_128.out,0.6156,0.6635,0.2952,0.283,2
/watson/data/ml/results/cbt-dist/1794/1794_-ehd_384_-sed_128.out,0.6352,0.6855,0.2912,0.2865,3
/watson/data/ml/results/cbt-dist/104/104_-ehd_384_-sed_128.out,0.6256,0.674,0.2916,0.2865,2
/watson/data/ml/results/cbt-dist/32/32_-ehd_384_-sed_128.out,0.632,0.671,0.2916,0.288,2
/watson/data/ml/results/cbt-dist/1844/1844_-ehd_384_-sed_128.out,0.6324,0.6705,0.2924,0.288,2
/watson/data/ml/results/cbt-dist/1796/1796_-ehd_384_-sed_128.out,0.6348,0.6755,0.2916,0.2875,3
/watson/data/ml/results/cbt-dist/1774/1774_-ehd_384_-sed_128.out,0.6352,0.669,0.2912,0.2875,2
/watson/data/ml/results/cbt-dist/1977/1977_-ehd_384_-sed_128.out,0.6316,0.682,0.2928,0.288,3
/watson/data/ml/results/cbt-dist/1883/1883_-ehd_384_-sed_128.out,0.6452,0.6905,0.292,0.287,3
/watson/data/ml/results/cbt-dist/1902/1902_-ehd_384_-sed_128.out,0.634,0.677,0.2896,0.2895,2
/watson/data/ml/results/cbt-dist/92/92_-ehd_384_-sed_128.out,0.6316,0.6795,0.2904,0.289,3
/watson/data/ml/results/cbt-dist/128/128_-ehd_384_-sed_128.out,0.6244,0.6715,0.2924,0.288,2
/watson/data/ml/results/cbt-dist/1838/1838_-ehd_384_-sed_128.out,0.6368,0.6755,0.29,0.291,3
/watson/data/ml/results/cbt-dist/162/162_-ehd_384_-sed_128.out,0.6436,0.675,0.2884,0.2875,3
/watson/data/ml/results/cbt-dist/111/111_-ehd_384_-sed_128.out,0.6304,0.677,0.2904,0.2905,3
/watson/data/ml/results/cbt-dist/139/139_-ehd_384_-sed_128.out,0.62,0.6775,0.29,0.2875,2
/watson/data/ml/results/cbt-dist/1823/1823_-ehd_384_-sed_128.out,0.6284,0.6755,0.2912,0.287,3
/watson/data/ml/results/cbt-dist/1863/1863_-ehd_384_-sed_128.out,0.6144,0.6725,0.2908,0.2885,2
/watson/data/ml/results/cbt-dist/1803/1803_-ehd_384_-sed_128.out,0.6304,0.67,0.2896,0.287,2
/watson/data/ml/results/cbt-dist/88/88_-ehd_384_-sed_128.out,0.6416,0.675,0.2924,0.287,2
/watson/data/ml/results/cbt-dist/1995/1995_-ehd_384_-sed_128.out,0.6356,0.6815,0.29,0.2905,3
